SCAC,Company name,Country,Category
OUSA,ORICA USA INCORPORATED,USA,US Importer
OATJ,ORIENTAL AIR TRANSPORT SERVICE INCORPORATED,USA,Mid-sized International Freight Forwarders
OFSH,ORIENTAL FREIGHT SERVICES COMPANY LIMITED,,Mid-sized International Freight Forwarders
OHLD,ORIENTAL HONOR LOGISTICS LIMITED,,Mid-sized International Freight Forwarders
OLKN,ORIENTAL LAKE SHIPPING OPERATION LIMITED,,Other Players
OLPO,ORIENTAL LAKE SHIPPING OPERATION LIMITED,,Other Players
ORLC,ORIENTAL LOGISTICS GROUP LIMITED,,Mid-sized International Freight Forwarders
OOIH,ORIENTAL OCEANIA INTERNATIONAL LOGISTICS (SHENZHEN) COMPANY LIMITED,,Mid-sized International Freight Forwarders
OPLT,ORIENTAL POWER LOGISTICS COMPANY LIMITED,,Mid-sized International Freight Forwarders
OVLF,ORIENTAL VANGUARD LOGISTICS COMPANY LIMITED,,Mid-sized International Freight Forwarders
OERT,ORIENT EXPRESS CONTAINER COMPANY LIMITED,,NVOCCs
OILD,ORIENT INTERNATIONAL LOGISTICS (DALIAN) COMPANY LIMITED,,Mid-sized International Freight Forwarders
OOLU,ORIENT OVERSEAS CONTAINER LINE LIMITED,,Large International Freight Forwarders
ORSR,ORIENT SHIPPING ROTTERDAM,,Other Players
OSLN,ORIENT STAR LOGIX COMPANY LIMITED,,Mid-sized International Freight Forwarders
OSTI,ORIENT STAR TRANSPORT INTL LIMITED,,Mid-sized International Freight Forwarders
ORIH,ORIGINAL LINK LOGISTICS LIMITED,,Mid-sized International Freight Forwarders
OIML,ORION INTERNATIONAL MEGA-LOGISTICS,,Mid-sized International Freight Forwarders
OMCI,ORION MARINE CONSTRUCTION INCORPORATED,USA,Other Players
OBKG,ORION REEDEREI GMBH & COMPANY KG,,Other Players
ORSL,ORISTO TRUCKING LIMITED LIABILITY COMPANY,USA,Other Players
OSSO,ORL SHIPPING SOLUTIONS LIMITED LIABILITY COMPANY,USA,Other Players
ONTB,ORM NATIONAL TRANSPORT LIMITED LIABILITY COMPANY,USA,Other Players
OSLY,OSCAR LOPEZ,,Other Players
OSGM,OSG BULK SHIPS INCORPORATED,USA,Other Players
OSGC,OSG INTERNATIONAL INCORPORATED,USA,Other Players
OSGL,OSG LIGHTERING LIMITED LIABILITY COMPANY,USA,Other Players
OSMR,OSG SHIP MANAGEMENT INCORPORATED,USA,Other Players
OSGF,OSG TWO FOUR TWO (242) LIMITED LIABILITY COMPANY,USA,Other Players
OWKW,OSKAR WEHR KG GMBH & COMPANY,,Other Players
OBUK,OSLO CARIBBEAN CARRIER AS,,NVOCCs
OSME,OSMOCO,,Other Players
OSMH,OSM SHIP MANAGEMENT AS,,Other Players
OSTB,O & SONS TRUCKING LIMITED LIABILITY COMPANY,USA,Other Players
OSGS,OSUNG LOGISTICS INCORPORATED,USA,Mid-sized International Freight Forwarders
OTAM,OTA AMERICA INCORPORATED,USA,Mid-sized International Freight Forwarders
OTAL,OTI LOGISTICS LIMITED LIABILITY COMPANY,USA,Mid-sized International Freight Forwarders
OLAF,OTM LOGISTICS LIMITED LIABILITY COMPANY,USA,Other Players
OTSB,O T S ASTRACON LIMITED LIABILITY COMPANY,USA,Mid-sized International Freight Forwarders
OTSS,O T S SPA,,Mid-sized International Freight Forwarders
OTXS,OTX LOGISTICS INCORPORATED,USA,Mid-sized International Freight Forwarders
OSCD,OUHUA SUPPLY CHAIN MANAGEMENT COMPANY LIMITED,,Mid-sized International Freight Forwarders
OMSV,OUTDOOR MANAGEMENT SERVICES LIMITED LIABILITY COMPANY,USA,Other Players
OCLI,OUTLAW COMPANY LIMITED LIABILITY COMPANY,USA,Other Players
OCCN,OUTSET CATTLE COMPANY,,Other Players
OECY,OVERLAND ENTERPRISE COMPANY,,Mid-sized International Freight Forwarders
OVOC,OVEROCEANS INCORPORATED,USA,Mid-sized International Freight Forwarders
OSIG,OVER SEAGULL INTERNATIONAL (SHENZHEN) COMPANY LIMITED,,Mid-sized International Freight Forwarders
OSBN,OVERSEAS BOSTON LIMITED LIABILITY COMPANY,USA,Other Players
OCSD,OVERSEAS CONTAINER SHIPPING LINE COMPANY LIMITED,,NVOCCs
OKLD,OVERSEAS KOREA LOGICS COMPANY LIMITED,,Mid-sized International Freight Forwarders
OVSP,OVERSEAS LNG H1 CORPORATION,,Other Players
OLNP,OVERSEAS LNG H2 CORPORATION,,Other Players
OSCL,OVERSEAS LNG S2 CORPORATION,,Other Players
OSLB,OVERSEAS LONG BEACH LIMITED LIABILITY COMPANY,USA,Other Players
OSLA,OVERSEAS LOS ANGELES LIMITED LIABILITY COMPANY,USA,Other Players
OSMO,OVERSEAS MARINE COMPANY LIMITED,,Other Players
OMLL,OVERSEAS MARTINEZ LIMITED LIABILITY COMPANY,USA,Other Players
OSNK,OVERSEAS NIKISKI LIMITED LIABILITY COMPANY,USA,Other Players
OTLW,OVERSEAS TAMPA LIMITED LIABILITY COMPANY,USA,Other Players
OSTS,OVERSEAS TEXAS CITY LIMITED LIABILITY COMPANY,USA,Other Players
OTCY,OVERSEAS TRANSPORT CORPORATION,,Mid-sized International Freight Forwarders
OVSA,OVERSEAS USA,,Other Players
OVCP,OVERSEAS VENTURE CONTAINER LINES,,NVOCCs
OVSY,OVRSEA,,Mid-sized International Freight Forwarders
OWLV,OW LOGISTICS USA LIMITED LIABILITY COMPANY,USA,Mid-sized International Freight Forwarders
OWMJ,OWL SUPPLY CHAIN SHENZHEN COMPANY LIMITED,,Mid-sized International Freight Forwarders
OCMS,OXBOW ENERGY SOLUTIONS LIMITED LIABILITY COMPANY,USA,Other Players
OMMI,OXYGEN MARITIME MANAGEMENT INCORPORATED,USA,Other Players
PCLW,PACC CONTAINER LINE PTE LIMITED,,NVOCCs
PLPE,PACC LINE PTE LIMITED,,NVOCCs
PULM,PACCSHIP (UK) LIMITED,,Other Players
PCKB,PACC TANKER MANAGEMENT PTE LIMITED,,Other Players
PCZV,PACE EXPRESS PRIVATE LIMITED,India,Mid-sized Indian Freight Forwarders
PTMQ,PACE TRANSPORTATION GROUP LIMITED LIABILITY COMPANY,USA,Other Players
PCND,PACE TRANSPORTATION SERVICES LIMITED LIABILITY COMPANY,USA,Other Players
PMMD,PACIFICA MARITIME LIMITED,,Other Players
PAID,PACIFIC ATLANTIC LINE (ISRAEL) LIMITED,,NVOCCs
PBIH,PACIFIC BASIN HANDYSIZE LIMITED,,Other Players
PBIM,PACIFIC BASIN SUPRAMAX LIMITED,,Other Players
PBEM,PACIFIC BULK ENTERPRISES COMPANY LIMITED,,Other Players
PDLK,PACIFIC DELTA LINES INCORPORATED,USA,NVOCCs
PDBP,PACIFIC DISCOVERY SHIPPING LIMITED,,Other Players
PFGW,PACIFIC GLOBAL LOGISTICS COMPANY LIMITED,,Mid-sized International Freight Forwarders
PGUQ,PACIFIC GLORY USA INCORPORATED,USA,Mid-sized International Freight Forwarders
PGSW,PACIFIC GULF SHIPPING COMPANY LIMITED,,Other Players
PABV,PACIFIC INTERNATIONAL LINES (PTE) LIMITED,,Large International Freight Forwarders
PLKQ,PACIFIC LINK INTL FREIGHT FORWARDING COMPANY LIMITED,,Mid-sized International Freight Forwarders
PLUV,PACIFIC LOGISTICS AND TRADING COMPANY LIMITED,,Mid-sized International Freight Forwarders
PABA,PACIFIC LOG RECOVERY SYSTEMS LIMITED,,Other Players
PONL,PACIFIC OCEAN LINES INCORPORATED,USA,NVOCCs
PAJW,PACIFIC OFFSHORE OPERATIONS (PTE) LIMITED,,Other Players
PCFJ,PACIFIC ROAD LOGISTICS INCORPORATED,USA,Other Players
PSMG,PACIFIC SHIP MANAGERS SDN BHD,,Other Players
PSHR,PACIFIC SHIPPING CORPORATION,,Other Players
PSEA,PACIFIC STAR EXPRESS (CHINA) COMPANY LIMITED,,Mid-sized International Freight Forwarders
PCSA,PACIFIC STAR EXPRESS CORPORATION,,Mid-sized International Freight Forwarders
PSLA,PACIFIC STAR EXPRESS (HONG KONG) COMPANY LIMITED,,Mid-sized International Freight Forwarders
PFQT,PACIFIC TRANSIT SERVICES INCORPORATED,USA,Mid-sized International Freight Forwarders
PTVY,PACIFIC TUGBOAT SERVICE,,Other Players
PTYE,PACIFIC TUG COMPANY LIMITED LIABILITY COMPANY,USA,Other Players
PWFA,PACIFIC WILD FISHING INCORPORATED,USA,Other Players
PNVC,PACK N TRUCK LIMITED LIABILITY COMPANY,USA,Other Players
PABC,P & AC LOGISTICS,,Mid-sized International Freight Forwarders
PCNV,PACNAV S A,,Other Players
PACJ,P A C OCEAN LINES,,NVOCCs
PCOD,PACTRA COMPANY LIMITED,,Mid-sized International Freight Forwarders
PICJ,PACTRA INTERNATIONAL COMPANY LIMITED,,Mid-sized International Freight Forwarders
PGSR,PAE GOVERNMENT SERVICES INCORPORATED,USA,Other Players
PGJN,PAGE & JONES INCORPORATED,USA,Other Players
PSWQ,PAKLINK SHIPPING SERVICES,,Mid-sized International Freight Forwarders
PDTV,PAKOIL DENIZCILIK TICARET VE SANAYI LIMITED SIRKETI,,Other Players
PTKP,PALACE TANKERS PTE LIMITED,,Other Players
PFRB,PAL DENIZ NAKLIYAT VE DIS TICARET A S,,Other Players
PTAS,PALDI TRANSPORT LIMITED,,Other Players
PBSS,PALM BEACH STEAMSHIP AGENCY INCORPORATED,USA,Other Players
PIVI,PALMDALE INVESTMENTS INCORPORATED,USA,Other Players
PCIC,PAM CARGO INTERNATIONAL COMPANY LIMITED,,Mid-sized International Freight Forwarders
PATY,PAN AM TRUCKING LIMITED LIABILITY COMPANY,USA,Other Players
PASF,PAN ASIA SUPPLY CHAIN COMPANY LIMITED,,Mid-sized International Freight Forwarders
PCAH,PAN-CHINA SUPPLY CHAIN (NINGBO) COMPANY LIMITED,,Mid-sized International Freight Forwarders
PNCP,PANCOAST TRADING (SINGAPORE) PTE LIMITED,,Other Players
PFEW,PANDA FREIGHT EXPRESS LIMITED LIABILITY COMPANY,USA,Mid-sized International Freight Forwarders
PGBN,PANDA GLOBAL (BEIJING) COMPANY LIMITED SHANGHAI BRANCH,,Mid-sized International Freight Forwarders
PNLP,PANDA LOGISTICS COMPANY LIMITED,,Mid-sized International Freight Forwarders
PNDI,PANDA LOGISTICS LIMITED,,Mid-sized International Freight Forwarders
PLUA,PANDA LOGISTICS USA INCORPORATED,USA,Mid-sized International Freight Forwarders
PXWS,PANEXWD SUPPLY CHAIN INCORPORATED,USA,Mid-sized International Freight Forwarders
PGMM,PANGEA MARITIME LIMITED,,Other Players
PHBY,PAN HORIZON INTERNATIONAL LOGISTICS LIMITED,,Mid-sized International Freight Forwarders
POLU,PANOCEAN,,Large International Freight Forwarders
POBU,PAN OCEAN COMPANY LIMITED,,Large International Freight Forwarders
PBCL,PANOCEANIC BULK CARRIERS LIMITED,,Other Players
PANV,PAN PACIFIC EXPRESS CORPORATION,,Mid-sized International Freight Forwarders
PNEP,PANTAINER EXPRESS LINE PANALPINA INCORPORATED AS AGENTS,USA,Large International Freight Forwarders
PTKS,PANTHEON TANKERS MANAGEMENT LIMITED,,Other Players
PRST,PAPER RECOVERY SERVICE CORPORATION,,US Importer
PCNY,PARADISE CRUISE LINE OPERATOR LIMITED,,Other Players
PKKS,PARAKOU TANKERS SINGAPORE PTE LIMITED,,Other Players
PRLW,PARAMOUNT TRANSPORTATION LIMITED LIABILITY COMPANY,USA,Other Players
PMTS,PARAMOUNT TRANSPORTATION SYSTEMS INCORPORATED,USA,Mid-sized International Freight Forwarders
PAJJ,PARASKY INTERNATIONAL LOGISTICS COMPANY LIMITED,,Mid-sized International Freight Forwarders
PGDH,PARISI GRAND SMOOTH LOGISTICS LIMITED,,Mid-sized International Freight Forwarders
PDZS,PASCOGAS DENIZ ISLETMELERI ANONIM SIRKETI,,Other Players
PSGP,"PASHA GROUP, THE",,Mid-sized International Freight Forwarders
PHHD,PASHA HAWAII HOLDINGS LIMITED LIABILITY COMPANY,USA,NVOCCs
PSHV,PASHA INTERNATIONAL,,Mid-sized International Freight Forwarders
PSCO,PASIFAE SHIPPING CORPORATION,,Other Players
PSFK,PASIFIK GEMI ISLETMECILIGI AS,,Other Players
PLGT,PASIFIK LOJISTIK GRUBU VE DENIZCILIK A S,,Mid-sized International Freight Forwarders
PSHY,PASSION SHIPPING COMPANY LIMITED,,Other Players
PSYW,PASSION TRUCKING LIMITED LIABILITY COMPANY,USA,Other Players
PWJH,PATEKWELL LOGISTICS LIMITED,,Mid-sized International Freight Forwarders
PLGJ,PATSON LOGISTICS LIMITED,,Mid-sized International Freight Forwarders
POFH,PAULINO FREIGHT LIMITED LIABILITY COMPANY,USA,Other Players
PEGS,PAULS EXPEDITED CARGO SERVICES INCORPORATED,USA,Other Players
PVLH,PAVILION LOGISTICS INCORPORATED,USA,Other Players
PVMA,PAVIMAR S A,,Other Players
PELD,PAVON EXPRESS LIMITED LIABILITY COMPANY,USA,Other Players
PBAK,PAZAGO TECHNOLOGIES PRIVATE LIMITED,India,Mid-sized Indian Freight Forwarders
PBCQ,PBC TRUCKING LIMITED LIABILITY COMPANY,USA,Other Players
PBFY,PBF HOLDING COMPANY LIMITED LIABILITY COMPANY,USA,US Importer
PGNV,PBL GLOBAL LOGISTICS INCORPORATED,USA,Mid-sized International Freight Forwarders
PBKS,PB TANKERS SPA,,Other Players
PCLP,PCL (SHIPPING) PTE LIMITED,,Other Players
PCUP,PCL TANKERS PTE LIMITED,,Other Players
PCIM,PCR CONSTRUCTORS INCORPORATED,USA,Other Players
PCST,PCS NITROGEN TRINIDAD LIMITED,,Other Players
PDIY,P DON INTERNATIONAL SUPPLY CHAIN COMPANY LIMITED,,Mid-sized International Freight Forwarders
POCL,PEACOCK OIL COMPANY OF BAXLEY INCORPORATED,USA,Other Players
PTMV,PEARL TRUCKING,,Other Players
PDEK,PEGASUS DENIZCILIK,,Other Players
PGAA,PEGASUS LOGISTICS GROUP,,Mid-sized International Freight Forwarders
PGSM,PEGASUS MARITIME INCORPORATED,USA,Other Players
PGHS,PEGASUS SHIPHOLDING S A,,Other Players
PLCN,PELICAN LOGISTICS COMPANY LIMITED,,Mid-sized International Freight Forwarders
PCTY,PELICAN TRANS INTERNATIONAL,,Mid-sized International Freight Forwarders
POLN,PELORUS OCEAN LINE LIMITED,,NVOCCs
PUSJ,PELORUS SHIPPING LINE LIMITED,,NVOCCs
PLYH,PELY SHIPPING CORPORATION,,Other Players
PEMY,PEMONT LIMITED,,Other Players
PSNO,PENANSHIN CONTAINER LINE,,NVOCCs
PSQJ,PENANSHIN SHIPPING PTE LIMITED,,Mid-sized International Freight Forwarders
PNVO,PENAVICO,,Large International Freight Forwarders
PFJJ,PENAVICO FUZHOU INTERNATIONAL FREIGHT & FORWARDING COMPANY LIMITED,,Mid-sized International Freight Forwarders
PVID,PENAVICO INTERNATIONAL LOGISTICS COMPANY LIMITED,,Mid-sized International Freight Forwarders
PNFN,PENFIELD MARINE LIMITED LIABILITY COMPANY,USA,Other Players
PGBT,PENGUIN GLOBAL LOGISTICS USA INCORPORATED,USA,Mid-sized International Freight Forwarders
PGNL,PENGUINS TRANSPORT LIMITED LIABILITY COMPANY,USA,Other Players
PPSE,PENINSULA PETROLEUM SL,,Other Players
PLQB,PENNINGTON LOGISTICS LIMITED LIABILITY COMPANY,USA,Other Players
PNMT,PENN MARITIME INCORPORATED,USA,Other Players
PGFS,PENTAGON FREIGHT SERVICES INCORPORATED,USA,Mid-sized International Freight Forwarders
PNRC,PENTRANS INCORPORATED,USA,Mid-sized International Freight Forwarders
PLBQ,PEOPLE & LOGISTICS TRANSPORT INCORPORATED,USA,Other Players
PMQS,PERE MARQUETTE SHIPPING COMPANY,,Other Players
PFKD,PERFECT BULK PTE LIMITED,,Other Players
PLNO,PERFECTEVER LOGISTICS (NINGBO) COMPANY LIMITED,,Mid-sized International Freight Forwarders
PECP,PERFECT EXPRESS CORPORATION,,Mid-sized International Freight Forwarders
PFEC,PERFECT LOGISTICS INTERNATIONAL INCORPORATED,USA,Mid-sized International Freight Forwarders
PYMC,"PERRY, MARK CHARLES",,Other Players
PSZS,PERSEVERRANZA SPA,,Other Players
PEXO,PERSHIP SYNERGY (PVT)LIMITED,,Mid-sized International Freight Forwarders
PESM,PERSONALIZED CARRIER SOLUTIONS LIMITED LIABILITY COMPANY,USA,Other Players
PMSB,PERTANKO MANAGEMENT S A,,Other Players
PRGH,PETER DOEHLE SCHIFFAHRTS-KG,,Other Players
PSNG,PETERSON TRUCKING,,Other Players
PDCL,PETREDEC LIMITED BERMUDA,,Other Players
PDPB,PETREDEC PTE LIMITED,,Other Players
PTBR,PETROBRAS AMERICA INCORPORATED,USA,Other Players
PGMR,PETROCHEM GENERAL MANAGEMENT S A,,Other Players
PGSQ,PETROLEUM GEO SERVICES,,Other Players
PNVI,PETRO-NAV INCORPORATED,USA,Other Players
PFKK,PFISTER TRUCKING LIMITED LIABILITY COMPANY,USA,Other Players
PFON,P FOUR ONE THREE (P413) LOGISTICS INCORPORATED,USA,Mid-sized International Freight Forwarders
PGAM,PGA SHIPPING SERVICES INCORPORATED,USA,Mid-sized International Freight Forwarders
PGSE,PG SHIPMANAGEMENT PTE LIMITED,,Other Players
PICA,PHAETHON INTERNATIONAL COMPANY AG,,Other Players
PHKT,PHANTOM SHIPPING LIMITED LIABILITY COMPANY,USA,Other Players
PLTE,PHAT LOC TRANSPORT LOGISTICS COMPANY LIMITED,,Mid-sized International Freight Forwarders
PLHF,PHD LIMITED,,Other Players
PHFF,"PHENIX INTERNATIONAL LOGISTICS COMPANY., LIMITED",,Mid-sized International Freight Forwarders
PPSL,"PHILLIPS, R & S TRUCKING LIMITED LIABILITY COMPANY",USA,Other Players
PXBC,PHOENIX BULK CARRIERS (U S) CORPORATION,,Other Players
PHXY,PHOENIX COMPANY LIMITED,,Other Players
PNHV,PHOENIX FISHING LIMITED,,Other Players
PIFW,PHOENIX INTERNATIONAL,,Large International Freight Forwarders
PIFV,PHOENIX INTL FREIGHT SERVICES PVT LIMITED,India,Mid-sized Indian Freight Forwarders
PLZN,PHOENIX LOGISTICS SHENZHEN LIMITED,,Mid-sized International Freight Forwarders
PNBI,PHOENIX NAVIGATOR PTE LIMITED,,Other Players
PEEP,PHOENIX SHIPPING (PTY) LIMITED,,Mid-sized International Freight Forwarders
PXTW,PHOENIX TANKERS PTE LIMITED,,Other Players
PXPH,PHOENIX XPRESS,,Mid-sized International Freight Forwarders
PLIF,PHOTON LOGISTICS INCORPORATED,USA,Mid-sized International Freight Forwarders
PSPQ,PIER SEVENTEEN (17) PUERTO RICO LIMITED LIABILITY COMPANY,USA,Other Players
PLCK,PIGEON LOGISTICS COMPANY LIMITED,,Mid-sized International Freight Forwarders
PILS,PILOT SHIPPING COMPANY LIMITED,,Mid-sized International Freight Forwarders
PRBG,"PINA RODRIGUEZ, PABLO",,Other Players
PPGP,PINEAPPLE TRANSPORT LIMITED LIABILITY COMPANY,USA,Other Players
PITW,PINE TRUCKING LIMITED LIABILITY COMPANY,USA,Other Players
PKYN,PINKCITY TRANSOCEAN INCORPORATED,USA,NVOCCs
PIFL,PINNACLE INTERNATIONAL FREIGHT LIMITED,,Mid-sized International Freight Forwarders
PWTD,PINNACLE WORLD TRANSPORT PTE LIMITED,,Mid-sized International Freight Forwarders
PGBG,PIONEER GLOBAL LOGISTICS INCORPORATED,USA,Mid-sized International Freight Forwarders
PORG,PIONEER LOGISTICS LIMITED,,Mid-sized International Freight Forwarders
PMNA,PIONEER MARINE ADVISERS PTE LIMITED,,Other Players
PIBA,PIONEER NAVIGATION LIMITED LIABILITY COMPANY,USA,Other Players
PIOU,PIONEER SHIPPING LIMITED,,Other Players
PTPW,PIONEER TRANSPORT INCORPORATED,USA,Other Players
PFND,PISCES FINANCE LIMITED,,Other Players
PKDC,PK DRY CARGO SRL,,Other Players
PLXW,PK LOGISTICS (XIAMEN) COMPANY LIMITED,,Mid-sized International Freight Forwarders
PLDW,PLATOON LOGISTICS LIMITED LIABILITY COMPANY,USA,Other Players
PLGO,PLEDGE TRANSPORT INCORPORATED,USA,Other Players
PPDP,PLEIADES SHIPPING AGENTS SA,,Other Players
PILL,PLEX INTERNATIONAL LOGISTICS LIMITED LIABILITY COMPANY,USA,Mid-sized International Freight Forwarders
PLSO,PL SHIPPING COMPANY,,Other Players
PPIV,PLUG POWER INCORPORATED,USA,US Importer
PSWJ,PLUSCHINA SCM LIMITED,,Mid-sized International Freight Forwarders
PMCM,PMB TRANSPORT & LOGISTICS INCORPORATED,USA,Other Players
PMTE,PMI TRADING LIMITED,,Other Players
PUIV,PNGL (USA) INCORPORATED,USA,NVOCCs
PNJG,PNJ LOGISTICS INCORPORATED,USA,Other Players
PNKI,PNK LOGISTICS COMPANY LIMITED,,Mid-sized International Freight Forwarders
PNLH,PNL INTERNATIONAL COMPANY LIMITED,,Mid-sized International Freight Forwarders
PNLN,PNL LOGISTICS INCORPORATED,USA,Mid-sized International Freight Forwarders
PNSJ,PNS NETWORKS COMPANY LIMITED,,Mid-sized International Freight Forwarders
PNVL,PNV LOGISTICS LLP,,Mid-sized Indian Freight Forwarders
PCNG,POCONO LOGISTIC INCORPORATED,USA,Other Players
PIGL,POGL INTERNATIONAL GROUP PTE LIMITED,,Mid-sized International Freight Forwarders
PGMD,POLA LOGISTICS LIMITED,,Mid-sized International Freight Forwarders
PMAV,POLA MARITIME LIMITED,,Other Players
PDMW,POLARCUS DMCC,,Other Players
PALL,POLARIS AUTOLINERS LIMITED,,Other Players
PLOS,POLARIS LOGISTICS,,Mid-sized International Freight Forwarders
PSHW,POLARIS SHIPPING COMPANY LIMITED,,Other Players
PSYB,POLAR SIX (6) LIMITED,,Other Players
PMBH,POLEMBROS SHIPPING,,Other Players
PSCY,POLE STAR CARGO INDIA PVT LIMITED,India,Mid-sized Indian Freight Forwarders
PLCH,POLESTAR LINE COMPANY LIMITED,,NVOCCs
PSSI,POLE STAR SHIPPING INCORPORATED,USA,Other Players
PSYD,POLSTEAM SHIPPING COMPANY LIMITED,,Other Players
PNCM,POLYMNIA NAVIGATION COMPANY SA,,Other Players
PLLU,POLYNESIA LINE LIMITED,,NVOCCs
PNTK,PONTIAKI SPECIAL MARITIME ENTERPRISE,,Other Players
PSME,PONTOPOROS SPECIAL MARITIME ENTERPRISE,,Other Players
PLYS,POPULAR LIFE STYLE LOGISTICS,,Mid-sized International Freight Forwarders
PVLI,POP VENDING LIMITED LIABILITY COMPANY,USA,US Importer
PRSH,POROS SHIPPING COMPANY,,Other Players
PAQI,PORT ALLIANCE LOGISTICS INTERNATIONAL INCORPORATED,USA,Mid-sized International Freight Forwarders
PCMV,PORT CITY MARINE SERVICES,,Other Players
PCBG,PORT CONNECT INTERMODAL INCORPORATED,USA,Other Players
PEVH,PORTEVER SHIPPING LIMITED,,Other Players
POSE,PORTLAND XPRESS INCORPORATED,USA,Other Players
PBIL,PORTLINE BULK INTERNATIONAL,,Other Players
PLKV,PORT LINK INTERNATIONAL SERVICES PVT LIMITED,India,Mid-sized Indian Freight Forwarders
POVM,PORTOS INTERNATIONAL SA DE CV,,Mid-sized International Freight Forwarders
PVTA,PORTSERV TRANSPORTATION LIMITED LIABILITY COMPANY,USA,Other Players
PEUS,PORTS EXPRESS (USA) INCORPORATED,USA,Mid-sized International Freight Forwarders
POTM,PORTSMITH LIMITED LIABILITY COMPANY,USA,Other Players
PSPA,PORT SOLUTIONS PARTNERS SERVICES LIMITED LIABILITY COMPANY,USA,Other Players
PORW,PORT TO PORT LOGISTICS LIMITED LIABILITY COMPANY,USA,Mid-sized International Freight Forwarders
PSNL,POSEIDON INTERNATIONAL MARITIME INCORPORATED,USA,Other Players
PYIN,POSEY INTERNATIONAL INCORPORATED,USA,Mid-sized International Freight Forwarders
PSFV,POSH FLEET SERVICES PTE LIMITED,,Other Players
POYD,POSIDONIA SHIPPING & TRADING LTDA,,Other Players
PGBV,POTA GLOBAL LOGISTICS I PVT LIMITED,India,Mid-sized Indian Freight Forwarders
PLSJ,"POULSEN, J SHIPPING",,Other Players
PWXD,POWER EXPRESS INTERNATIONAL COMPANY LIMITED,,Mid-sized International Freight Forwarders
PLLW,POWER LINK LOGISTIC INCORPORATED,USA,Mid-sized International Freight Forwarders
PWFI,POWERTRANS FREIGHT SYSTEM INCORPORATED,USA,Mid-sized International Freight Forwarders
PPFQ,P & P FREIGHT FORWARDING INCORPORATED,USA,Mid-sized International Freight Forwarders
PRQS,PRECIOUS SHIPPING,,Other Players
PCNP,PRECISION TRANSPORT LIMITED LIABILITY COMPANY,USA,Other Players
PRLQ,PREFERRED FUEL LIMITED LIABILITY COMPANY,USA,US Importer
PREO,PREMCOR REFINING GROUP INCORPORATED & SUBSIDIARIES,USA,Other Players
PACO,PREMIER AIR CARGO,,Mid-sized International Freight Forwarders
PBAY,PREMIER BAY SHIPPING COMPANY LIMITED,,Other Players
PNLA,PREMIER NATIONWIDE LOGISTICS LIMITED LIABILITY COMPANY,USA,Other Players
PPSW,PREMIER PACIFIC SEAFOODS,,US Importer
PSSV,PREMIER SHIPPING SOLUTIONS,,Mid-sized International Freight Forwarders
PWTL,PREMIER WEST TOW AND TRANSPORT INCORPORATED,USA,Other Players
PAEH,PREMIUM ASSESSORIA EM EXPORTACAO E IMPORTACAO LTDA,,Mid-sized International Freight Forwarders
PSPJ,PREMIUM SHIPPING COMPANY LIMITED,,Other Players
PRMD,PREMUDA SPA,,Other Players
PCLK,PRESIDENT CARRIER LIMITED,,Other Players
PSID,PRESIDENT CONTAINER LINE,,NVOCCs
PXLW,PRESSEX LOGISTICS LIMITED LIABILITY COMPANY,USA,Mid-sized International Freight Forwarders
PBSA,PRESTIGE BROKERAGE SERVICE INCORPORATED,USA,Other Players
PLSP,PRESTIGE LOGISTICS SERVICES LIMITED LIABILITY COMPANY,USA,Mid-sized International Freight Forwarders
PPLN,PRIDEL PRIVATE LIMITED,India,Indian Exporter
PCSJ,PRIMA CORPORATION S A,,Other Players
PRFT,PRIMARY FREIGHT SERVICES INCORPORATED,USA,Mid-sized International Freight Forwarders
PMSM,PRIMA STONE INCORPORATED,USA,US Importer
PAOF,PRIME AIR & OCEAN CARGO,,Mid-sized International Freight Forwarders
PBSM,PRIMEBULK SHIPMANAGEMENT LIMITED,,Other Players
PFSS,PRIME FREIGHT SERVICE COMPANY LIMITED,,Mid-sized International Freight Forwarders
PGMQ,PRIME GAS MANAGEMENT INCORPORATED,USA,Other Players
PRMN,PRIME INTERMODAL TRANSPORTATION INCORPORATED,USA,Other Players
PMGT,PRIME LOGISTICS INCORPORATED,USA,Mid-sized International Freight Forwarders
PRSI,PRIME RESOURCE SERVICES INCORPORATED,USA,Other Players
PRIM,PRIME SHIPPING INTERNATIONAL INCORPORATED,USA,Mid-sized International Freight Forwarders
PMSH,PRIMESHIPPING LIMITED LIABILITY COMPANY,USA,Mid-sized International Freight Forwarders
PUJS,PRIME SHIPPING LOGISTICS LTDA,,Mid-sized International Freight Forwarders
PTKQ,PRIME TANKER MANAGEMENT INCORPORATED,USA,Other Players
PMHP,PRIME TIME HAULERS LIMITED LIABILITY COMPANY,USA,Other Players
PLTD,PRIMETRANSPORT LIMITED,,Other Players
PMIT,PRIMETURBO LIMITED LIABILITY COMPANY,USA,US Importer
POAL,PRIMY OCEAN AIR LOGISTICS COMPANY LIMITED,,Mid-sized International Freight Forwarders
PNSS,PRINCESS CRUISES,,Other Players
PRPY,PRINCIPLE TRANSPORT LIMITED LIABILITY COMPANY,USA,Other Players
PBSN,PRIORITY BROKERAGE SERVICES,,Other Players
PYRR,PRIORITY RO-RO SERVICES LIMITED LIABILITY COMPANY,USA,Other Players
PWSS,PRIORITY WORLDWIDE SERVICES,,Mid-sized International Freight Forwarders
